Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
1.64555640e+04  gen3perm8       2.65660000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64555640e+04  gen7perm8       2.65660000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64555640e+04  gen9perm8       2.65660000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64555640e+04  gen10perm1      2.65660000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64555640e+04  gen10perm6      2.65660000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64559776e+04  gen9perm4       2.65660000e-02  7.41850000e-02  1.08500320e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64562418e+04  gen5perm2       2.65660000e-02  6.99410000e-02  1.10542030e+01  2.72152800e+01  2.38580000e-02  4.25657191e+02  
1.64567965e+04  gen6perm8       2.65660000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.38580000e-02  3.87706985e+02  
1.64575406e+04  gen5perm8       2.65660000e-02  7.05740000e-02  1.05320920e+01  2.80077280e+01  2.34960000e-02  4.65899326e+02  
1.64619600e+04  gen4perm8       2.65660000e-02  7.05740000e-02  1.56317600e+01  3.19546660e+01  2.38580000e-02  4.25657191e+02  
1.64626621e+04  gen3perm2       2.62200000e-02  7.05740000e-02  1.09002770e+01  4.90440000e-02  2.38580000e-02  4.25657191e+02  
1.64644535e+04  gen2perm5       2.61150000e-02  1.40160050e+01  1.05320920e+01  2.80077280e+01  2.38580000e-02  4.25657191e+02  
1.64657932e+04  gen5perm3       2.65660000e-02  7.05740000e-02  9.74337800e+00  2.80077280e+01  2.25530000e-02  4.25657191e+02  
1.64676189e+04  gen4perm4       2.59360000e-02  7.05740000e-02  1.05231240e+01  2.87140560e+01  2.38580000e-02  4.25657191e+02  
1.64859485e+04  gen6perm10      2.49810000e-02  7.05740000e-02  1.05320920e+01  2.77503160e+01  2.38580000e-02  4.25657191e+02  
1.65057339e+04  gen3perm5       2.58960000e-02  3.60640000e-02  1.56317600e+01  2.54581030e+01  2.38580000e-02  1.48805212e+02  
1.67552519e+04  gen1perm10      1.93420000e-02  1.18000000e-03  1.62309280e+02  9.78860000e-02  1.64691800e+00  2.18565100e+00  
1.69542287e+04  gen1perm6       7.34520000e-02  1.40160050e+01  4.17400000e-03  7.37897349e+02  6.50785750e+01  4.77815300e+00  
1.69670095e+04  gen1perm1       2.54487000e-01  6.00800000e-03  4.49600000e-03  9.85251508e+02  2.03960000e-02  1.19562300e+00  
1.69768846e+04  gen2perm9       3.70020000e-02  1.52118000e-01  3.60197400e+01  1.64300000e-03  2.71900000e-03  1.22830000e-02  
1.69769826e+04  gen1perm5       8.52018600e+01  6.18631979e+02  2.24104000e-01  1.74476000e-01  6.57973785e+02  7.31496000e-01  
1.69771541e+04  gen1perm8       4.33640000e-02  4.87273600e+00  9.69250641e+02  1.00220000e-02  4.05715990e+02  1.24639613e+02  
1.87143484e+04  gen2perm6       7.34520000e-02  7.05740000e-02  4.17400000e-03  7.37897349e+02  7.00830240e+01  4.77815300e+00  
1.87227562e+04  gen2perm7       7.47700000e-02  1.40160050e+01  4.17400000e-03  7.48343900e+02  6.50785750e+01  4.77815300e+00  
1.87538493e+04  gen1perm2       2.18060859e+02  1.26731240e+02  8.06080000e-02  4.14800000e-03  1.86000000e-03  7.41219900e+00  
