Fit             Iteration       f1_ZAKtoMKK7P   f3_MKK7byZAK    k3_JNKbyMKK4    k3_JNKbyMKK7    k3_MKK4byZAK    k3_MKK7byJNK    k3_MKK7byZAK    scale_ppJNK     scale_ppMKK4    scale_ppMKK7    scale_t         
1.25257400e+00  1169            1.72627010e+01  6.20280530e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25257600e+00  1382            1.72627010e+01  6.43999380e+01  6.07465000e-01  5.04412500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25260000e+00  1462            1.72627010e+01  6.20280530e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  1.13674900e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25261400e+00  1423            2.07566000e+01  6.32356530e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.54559000e-01  1.02659300e+00  9.90177000e-01  2.24832500e+00  
1.25262700e+00  1452            1.72627010e+01  6.18352150e+01  6.09666000e-01  5.13132500e+00  7.07976000e-01  1.04455700e+00  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.24832500e+00  
1.25263400e+00  1240            2.07566000e+01  6.32356530e+01  6.09666000e-01  5.13132500e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.29400800e+00  
1.25267200e+00  1473            1.72627010e+01  6.32356530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03012100e+00  9.90177000e-01  2.24832500e+00  
1.25270500e+00  1407            2.07566000e+01  6.32356530e+01  6.09666000e-01  4.95097600e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  1.01006500e+00  2.29400800e+00  
1.25270700e+00  1464            2.04936650e+01  6.32356530e+01  6.15785000e-01  5.09696100e+00  7.07976000e-01  1.15484500e+00  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.21616700e+00  
1.25276500e+00  1491            1.72627010e+01  6.43999380e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25277300e+00  1421            1.72627010e+01  6.18352150e+01  6.10071000e-01  5.13132500e+00  7.07976000e-01  1.04455700e+00  1.27040000e-02  8.55503000e-01  1.03565800e+00  9.90177000e-01  2.23763000e+00  
1.25277800e+00  1317            1.72627010e+01  6.32356530e+01  6.07465000e-01  5.13132500e+00  7.07976000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.03012100e+00  9.90177000e-01  2.23763000e+00  
1.25278100e+00  1415            2.07566000e+01  6.20280530e+01  6.10071000e-01  5.13132500e+00  6.85786000e-01  9.99011000e-01  1.27430000e-02  8.55503000e-01  1.02659300e+00  9.90177000e-01  2.29400800e+00  
