Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.78374079e+03  1377            6.11388100e+00  1.47274780e+01  1.22934000e-01  1.36141000e-01  -1.73887200e+01 1.66719000e-01  
1.78426965e+03  1456            5.80353700e+00  1.77476680e+01  8.29720000e-02  9.32350000e-02  1.09305440e+01  1.12063000e-01  
1.78521434e+03  1579            4.43186800e+00  1.69560550e+01  1.26781000e-01  -1.19470000e-01 3.39520000e-01  2.18614000e-01  
1.78575834e+03  439             5.46410000e+00  9.32781500e+00  8.67280000e-02  4.67086000e-01  1.29547370e+01  1.34331000e-01  
1.78647449e+03  1858            -1.54424620e+01 1.55439260e+01  6.71240000e-02  -5.63318000e-01 1.10435180e+01  8.19990000e-02  
1.78652781e+03  882             6.62474100e+00  1.59909320e+01  1.29069000e-01  2.46861000e-01  4.11794500e+00  1.83194000e-01  
1.79098587e+03  1188            5.77482300e+00  1.88427410e+01  9.16610000e-02  1.23437000e-01  4.63115600e+00  1.23948000e-01  
1.79140646e+03  1545            5.43753400e+00  1.83595730e+01  7.47490000e-02  1.83464000e-01  1.03644100e+01  1.17639000e-01  
1.79231992e+03  2202            3.85876600e+00  1.60744500e+01  1.29879000e-01  -2.00414000e-01 6.78009500e+00  2.12042000e-01  
1.79321560e+03  1727            5.92347200e+00  1.76778410e+01  8.21740000e-02  -8.12280000e-01 1.33323440e+01  1.10160000e-01  
1.79456170e+03  1602            4.13960200e+00  1.68433710e+01  9.15720000e-02  -3.05598000e-01 1.28954390e+01  1.33450000e-01  
1.79471806e+03  1806            8.86530700e+00  1.59256010e+01  -9.39860000e-02 -1.88345000e-01 9.21573600e+00  -1.28812000e-01 
1.79797337e+03  1839            5.80967900e+00  9.65255900e+00  5.85980000e-02  1.02183920e+01  8.03279100e+00  -7.94810000e-02 
1.79969310e+03  2006            6.39854900e+00  1.74199890e+01  5.21960000e-02  -6.89389000e-01 1.43459300e+01  6.97590000e-02  
1.80075215e+03  784             7.50637200e+00  1.54958570e+01  1.29379000e-01  3.61310000e-02  1.33109160e+01  1.78655000e-01  
1.80159362e+03  1508            5.42637800e+00  2.23561480e+01  1.33135000e-01  2.57482100e+00  1.80312390e+01  1.98620000e-01  
1.80175094e+03  1587            6.29411700e+00  1.67098720e+01  1.21314000e-01  -1.47154300e+00 1.18123320e+01  -1.76567000e-01 
1.80389021e+03  1125            7.53199100e+00  1.43427840e+01  1.18975000e-01  3.25817000e-01  8.08143800e+00  1.53599000e-01  
1.80444300e+03  2229            4.97402800e+00  1.72020370e+01  7.89280000e-02  4.17100000e-03  1.39009000e+01  1.09599000e-01  
1.80648029e+03  131             7.42852100e+00  8.23455800e+00  1.24742000e-01  2.58390000e-01  1.10871900e+01  1.61550000e-01  
1.81142352e+03  1664            7.06214800e+00  1.89182130e+01  1.08397000e-01  -1.04612000e-01 4.15222000e+00  1.40532000e-01  
1.81304653e+03  1862            5.36770400e+00  1.65935770e+01  8.14140000e-02  -9.65324000e-01 1.21495630e+01  1.28453000e-01  
