Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
2.06249392e+03  773             1.04024910e+01  3.33899910e+02  9.53686720e+01  2.78873770e+01  1.44123097e+02  1.16720471e+02  
2.06393476e+03  494             1.47576200e+01  2.76581661e+02  1.02405851e+02  2.41114100e+01  1.11347933e+02  -1.38922211e+02 
2.06650802e+03  688             1.18339100e+01  2.44998209e+02  1.17498252e+02  1.94724710e+01  1.11193962e+02  1.42416789e+02  
2.07090742e+03  451             1.05001800e+01  2.02079065e+02  1.11709623e+02  2.57045520e+01  1.11397117e+02  1.38248343e+02  
2.07591103e+03  713             1.17558640e+01  2.31094044e+02  1.14679900e+02  3.32509660e+01  1.13948922e+02  1.65189987e+02  
2.07703546e+03  866             3.24673360e+01  2.57749946e+02  2.42471338e+02  3.11247160e+01  1.01450910e+02  2.99667403e+02  
2.08003189e+03  998             9.04263000e+01  1.93443561e+02  2.09073844e+02  3.53560610e+01  1.08629104e+02  2.04929751e+02  
2.08326473e+03  528             6.45490700e+00  3.09276380e+02  9.77559390e+01  2.85492620e+01  1.17629002e+02  -1.36915198e+02 
2.08598534e+03  80              6.37909500e+00  7.89984280e+02  6.94286140e+01  1.47939430e+01  1.69505537e+02  -9.51446460e+01 
2.08620887e+03  942             6.43645630e+01  2.47715814e+02  -2.62452141e+02 3.34320210e+01  1.08422347e+02  2.61413729e+02  
2.08758795e+03  108             6.88529420e+01  1.63602440e+02  4.41194346e+02  2.60568010e+01  1.28397881e+02  4.98064139e+02  
2.09333871e+03  655             7.64412200e+00  1.65465399e+02  5.41905770e+02  2.41860630e+01  1.16023036e+02  1.04681232e+03  
2.09665643e+03  827             1.17328290e+01  2.61257744e+02  1.13820889e+02  2.07793810e+01  1.21973273e+02  1.36023450e+02  
2.09862799e+03  722             1.12558550e+01  2.43113073e+02  1.14253982e+02  2.80679580e+01  1.07477949e+02  1.38575940e+02  
2.10009018e+03  737             4.79830000e+01  1.97017453e+02  2.91962123e+02  3.12372590e+01  1.10145321e+02  2.95122640e+02  
2.10525164e+03  408             1.96589770e+01  2.93805923e+02  1.06963110e+02  2.27368460e+01  1.01836339e+02  -1.17070357e+02 
2.11563197e+03  913             1.83527270e+01  3.89288278e+02  7.68881920e+01  2.50409120e+01  1.06448057e+02  1.00266125e+02  
2.11692942e+03  234             1.28284030e+01  3.97563575e+02  4.01213040e+01  1.74316390e+01  1.00838704e+02  -4.57024670e+01 
2.11703263e+03  553             1.15688260e+01  3.00627744e+02  1.08767335e+02  8.55070510e+01  1.25337374e+02  1.57526768e+02  
2.11766959e+03  579             6.89230900e+00  2.70176480e+02  9.95723510e+01  2.01950040e+01  1.11799166e+02  -1.35416683e+02 
2.12178592e+03  195             5.65105220e+01  4.56512824e+02  5.70072370e+01  2.61499100e+01  1.21385439e+02  5.63362870e+01  
2.12277606e+03  190             9.75019000e+00  1.98836956e+02  1.74039771e+02  2.59766610e+01  1.19512560e+02  2.21469068e+02  
2.12542871e+03  907             1.44989410e+01  2.48732520e+02  1.25267946e+02  2.09455200e+01  1.09046884e+02  1.76345227e+02  
2.12740162e+03  765             9.59822800e+00  2.50518115e+02  9.48210210e+01  2.35255990e+01  1.04146974e+02  1.17304277e+02  
2.14087691e+03  868             1.39033140e+01  2.19192360e+02  1.08405751e+02  1.65251216e+02  1.19863594e+02  1.52664605e+02  
