Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.63730418e+03  1905            3.83377900e+00  5.02539200e+00  5.74920000e-02  3.50406325e+02  1.25713960e+01  -9.44910000e-02 
1.63734449e+03  1892            3.82992900e+00  5.36664100e+00  5.76420000e-02  3.46305266e+02  1.31678850e+01  -9.47010000e-02 
1.63736718e+03  2413            3.77835100e+00  1.59922400e+00  5.64780000e-02  3.32748930e+02  1.38692140e+01  -9.36060000e-02 
1.63745583e+03  1998            3.84757300e+00  5.01538700e+00  5.74240000e-02  3.42216066e+02  1.32141100e+01  -9.43370000e-02 
1.63751975e+03  2301            3.69001900e+00  8.59688000e-01  5.67720000e-02  3.16694108e+02  1.22252930e+01  -9.30810000e-02 
1.63754096e+03  1486            3.87439400e+00  5.06589400e+00  5.76650000e-02  3.59282139e+02  1.30113200e+01  -9.44850000e-02 
1.63759345e+03  2072            3.84385500e+00  5.05976200e+00  5.69020000e-02  3.16979186e+02  1.31260670e+01  -9.22760000e-02 
1.63770888e+03  2278            3.79292400e+00  7.61039000e-01  5.67990000e-02  3.97891454e+02  1.38407360e+01  -9.40460000e-02 
1.63776405e+03  2375            3.74301400e+00  -2.20274000e-01 5.70170000e-02  3.60508682e+02  1.34514430e+01  -9.30040000e-02 
1.63778733e+03  2303            3.93865200e+00  4.76598800e+00  5.72330000e-02  2.85299180e+02  1.27128410e+01  -9.21580000e-02 
1.63779691e+03  2383            3.71614500e+00  1.26219500e+00  5.65790000e-02  3.81843461e+02  3.01306590e+01  -9.41920000e-02 
1.63783839e+03  1927            3.91351100e+00  4.97783600e+00  5.79510000e-02  3.55447834e+02  1.19555601e+02  -9.44490000e-02 
1.63784073e+03  2478            3.77797000e+00  1.34194500e+00  5.66860000e-02  3.21445582e+02  1.34431320e+01  -9.22270000e-02 
1.63793623e+03  2470            3.79619600e+00  1.80255200e+00  5.58130000e-02  3.26778100e+02  1.35258980e+01  -9.26340000e-02 
1.63794653e+03  2231            3.86846300e+00  3.78700000e-01  5.69330000e-02  3.93863264e+02  1.37724450e+01  -9.37520000e-02 
1.63797321e+03  2351            3.84153500e+00  -1.47135600e+00 5.67440000e-02  3.24201417e+02  1.33380540e+01  -9.36620000e-02 
1.63800192e+03  2063            3.91754000e+00  5.02478000e+00  5.76950000e-02  3.20702491e+02  1.18503260e+01  -9.30190000e-02 
1.63808383e+03  1985            3.81422600e+00  4.92456200e+00  5.67950000e-02  3.19146081e+02  1.34876830e+01  -9.38620000e-02 
1.63841677e+03  1674            3.87423200e+00  5.01750100e+00  5.74480000e-02  3.52198708e+02  1.28165860e+01  -9.44170000e-02 
1.63841869e+03  2066            3.87576800e+00  5.02037100e+00  5.67360000e-02  3.19783306e+02  1.32802670e+01  -9.34070000e-02 
1.63844591e+03  2438            3.81528900e+00  3.85336800e+00  5.63950000e-02  3.45869053e+02  1.33188840e+01  -9.33820000e-02 
1.63851489e+03  2264            3.79653000e+00  6.13110000e-01  5.78520000e-02  3.12248741e+02  5.65131840e+01  -9.37710000e-02 
1.63852365e+03  1845            3.86360900e+00  5.03609200e+00  5.73610000e-02  3.51801271e+02  1.25949920e+01  -9.43980000e-02 
1.63858618e+03  2229            3.82752400e+00  5.40362100e+00  5.67640000e-02  2.07779274e+02  1.33181580e+01  -9.19690000e-02 
1.63864882e+03  2445            3.78450200e+00  2.47174200e+00  5.64960000e-02  3.82385759e+02  1.04153060e+01  -9.38580000e-02 
