Fit             Iteration       K1              K2              alpha           
8.50774000e-01  gen5perm6       6.29600000e-03  2.86475850e+03  1.39898900e+00  
8.53276000e-01  gen8perm6       1.38388000e-01  1.43381420e+03  1.33205000e+00  
8.59683000e-01  gen6perm48      5.80741000e-01  1.67609948e+02  1.01049800e+00  
8.63334000e-01  gen3perm48      9.39869000e-01  8.10551510e+01  1.14463700e+00  
8.64792000e-01  gen1perm6       1.06846410e+01  6.21251310e+03  1.08802300e+00  
9.00636000e-01  gen6perm6       1.06123700e+00  3.31035123e+03  8.69897000e-01  
9.00857000e-01  gen9perm6       9.91236000e-01  1.76968432e+02  9.53202000e-01  
9.10812000e-01  gen7perm48      9.91236000e-01  1.43381420e+03  9.53202000e-01  
9.14968000e-01  gen7perm40      9.91236000e-01  1.43381420e+03  9.53202000e-01  
9.16010000e-01  gen4perm6       1.52694000e-01  1.02464270e+02  1.39898900e+00  
9.25414000e-01  gen3perm6       1.08616000e-01  6.36342700e+00  1.16660000e+00  
9.34924000e-01  gen9perm40      9.91236000e-01  1.43381420e+03  9.53202000e-01  
9.36655000e-01  gen3perm40      1.06123700e+00  1.11525790e+03  1.31175300e+00  
9.44832000e-01  gen2perm49      5.80741000e-01  3.53946722e+03  1.30633800e+00  
9.47337000e-01  gen2perm40      1.03350000e-02  1.02464270e+02  1.39898900e+00  
9.48803000e-01  gen1perm48      4.93660000e-02  6.01083100e+00  8.69897000e-01  
9.70990000e-01  gen8perm49      1.59137000e-01  1.43381420e+03  9.53202000e-01  
9.71203000e-01  gen2perm47      2.37591940e+01  1.05620047e+02  8.62760000e-01  
9.72161000e-01  gen10perm40     9.91236000e-01  1.35715396e+03  9.53202000e-01  
9.76448000e-01  gen4perm49      9.39869000e-01  8.10551510e+01  1.14463700e+00  
9.79130000e-01  gen1perm49      1.93346700e+00  1.02319500e+00  1.39969600e+00  
9.84069000e-01  gen6perm40      7.79200000e-03  1.43381420e+03  1.33205000e+00  
9.85215000e-01  gen9perm49      1.01170100e+00  1.57973638e+02  7.37998000e-01  
9.85330000e-01  gen5perm49      7.79200000e-03  2.86475850e+03  1.33205000e+00  
9.85996000e-01  gen7perm47      1.38388000e-01  2.86475850e+03  1.11058800e+00  
9.89539000e-01  gen5perm40      7.62800000e-03  6.20269277e+02  1.43292200e+00  
9.91029000e-01  gen10perm49     8.98074000e-01  1.57973638e+02  9.53202000e-01  
9.91153000e-01  gen9perm47      9.76992000e-01  1.43381420e+03  9.53202000e-01  
9.93819000e-01  gen1perm47      5.34430000e-02  4.98552959e+03  8.60015000e-01  
9.94646000e-01  gen7perm49      9.91236000e-01  1.43381420e+03  1.33205000e+00  
9.95363000e-01  gen4perm40      6.43327000e-01  2.86475850e+03  8.69897000e-01  
9.98800000e-01  gen8perm40      9.39869000e-01  1.57973638e+02  7.37998000e-01  
1.00195900e+00  gen8perm47      9.91236000e-01  1.57973638e+02  1.33205000e+00  
1.00326800e+00  gen6perm47      7.79200000e-03  1.67609948e+02  1.33205000e+00  
1.00368200e+00  gen10perm47     9.91236000e-01  1.57973638e+02  9.53202000e-01  
