Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.71180000e+04  gen17perm5      1.27239753e+04  -1.81268658e+02 1.13785923e+04  -9.47321850e+03 -3.62499152e+03 -4.12377500e+00 
1.71200000e+04  gen0perm9       2.26600000e-02  8.71800000e-03  1.88587210e+01  3.39042000e-01  2.00600000e-03  1.19466400e+00  
1.71200000e+04  gen1perm9       2.26600000e-02  8.71800000e-03  1.88587210e+01  3.39042000e-01  2.00600000e-03  1.19466400e+00  
1.71270000e+04  gen4perm5       -1.67338000e-01 3.56621840e+01  -2.86380414e+02 1.79015126e+03  8.11780000e+00  -1.38755000e-01 
1.71270000e+04  gen8perm9       -4.03629323e+02 -1.36741724e+02 2.50909745e+02  -4.14503013e+03 -5.40952644e+02 2.97620000e-02  
1.71290000e+04  gen4perm9       3.10000000e-02  1.20939902e+02  -4.85068410e+01 4.43941504e+03  1.03753950e+01  -6.12530000e-02 
1.71310000e+04  gen13perm9      1.91892197e+02  -1.54047041e+03 1.57928060e+03  -4.55988659e+05 7.85975107e+03  -1.10062900e+00 
1.71720000e+04  gen24perm5      5.47418873e+04  4.37160929e+03  5.02285189e+05  -4.50168600e+05 -7.99506540e+04 -7.64867080e+02 
1.71970000e+04  gen15perm9      -8.73563578e+03 -9.34555863e+03 3.24892401e+03  -8.04401640e+04 -1.42903543e+04 -2.14389230e+01 
1.72010000e+04  gen18perm2      -1.12451382e+05 3.52960884e+03  -2.46836559e+04 1.51317224e+06  -6.36667035e+03 3.72941000e-01  
1.72350000e+04  gen14perm9      -4.19473389e+03 -7.42585081e+03 3.99041720e+03  -6.91561748e+05 7.08310766e+03  -1.19096300e+01 
1.72410000e+04  gen17perm7      -9.61970027e+05 7.17532585e+03  2.15894719e+04  3.20438249e+05  6.00855547e+03  -5.33866430e+01 
1.72730000e+04  gen31perm10     -1.56607674e+07 -1.76135494e+04 -1.33887694e+06 2.60214768e+08  -7.31391958e+06 -2.47392054e+04 
1.72840000e+04  gen21perm2      5.26263704e+05  -7.46485963e+03 1.32347832e+05  -7.02723359e+06 1.29851323e+05  2.11405918e+02  
1.74110000e+04  gen22perm2      5.53549881e+05  -1.05342713e+04 1.97692215e+05  -2.71393062e+06 -1.35936105e+05 -4.01612093e+02 
1.74190000e+04  gen10perm4      -3.90689664e+03 -8.39635648e+02 -1.03116573e+02 1.34400142e+04  -1.33584172e+03 -1.99973410e+03 
1.75130000e+04  gen17perm3      5.30523490e+03  1.26822077e+04  -1.28706461e+05 1.26627205e+06  -3.01878084e+04 -3.12437871e+02 
1.76140000e+04  gen22perm5      -2.31102505e+05 1.74267502e+04  2.38176712e+05  -9.78553507e+05 -4.44272697e+03 1.87692581e+03  
1.76780000e+04  gen19perm7      -5.34207282e+06 1.83793383e+04  -1.59241820e+05 1.13399510e+06  3.66805624e+04  1.24525889e+03  
1.77590000e+04  gen23perm10     -4.55907375e+05 4.71355292e+04  -3.27085672e+04 6.61563104e+06  -1.29282352e+05 2.79764863e+03  
1.77770000e+04  gen18perm7      -3.53048407e+06 2.11643094e+04  -5.41784432e+04 9.59131427e+05  2.66095734e+04  5.71821973e+02  
1.78150000e+04  gen11perm4      -5.28891439e+03 -2.25508656e+03 -1.15877360e+02 2.91619718e+04  1.05427553e+02  -2.87549753e+03 
1.78860000e+04  gen23perm5      -1.79493822e+05 2.04502179e+04  5.27890947e+05  -1.11144009e+06 -4.32232240e+04 3.06204567e+03  
1.79400000e+04  gen23perm3      -3.64969071e+04 -3.16770048e+04 -4.22679397e+05 5.39992811e+06  -8.01642666e+04 1.30710090e+04  
1.79460000e+04  gen13perm4      1.29798468e+04  2.00338998e+02  3.27446634e+02  1.09883770e+04  8.78841706e+03  9.13768144e+03  
1.79810000e+04  gen17perm9      3.22605359e+03  1.96830267e+04  -2.07117060e+04 3.94598236e+06  -7.28532386e+04 2.95830230e+01  
1.80580000e+04  gen25perm5      6.14589801e+05  -2.91820518e+04 -5.58921008e+05 1.54277595e+06  -5.97185959e+04 -1.14301541e+04 
1.81360000e+04  gen24perm2      -9.86406541e+05 2.35391049e+04  -2.77687802e+05 3.78309702e+07  -9.08903978e+05 -1.33332752e+03 
1.81640000e+04  gen14perm4      2.83182949e+04  5.19868772e+03  6.93388304e+02  -1.04111410e+04 7.33610184e+03  2.11087365e+04  
1.83210000e+04  gen20perm7      -3.52344956e+06 -2.45985232e+04 -1.72333696e+05 -6.04967270e+04 -2.92135230e+04 2.61646371e+02  
