Fit             Iteration       K1              K2              alpha           
1.46581000e-01  2110            7.35900000e-02  2.71315690e+01  7.32961000e-01  
1.46777000e-01  2470            7.12340000e-02  2.78695090e+01  7.28564000e-01  
1.47026000e-01  2607            7.15150000e-02  2.71315690e+01  7.30004000e-01  
1.47093000e-01  1411            5.84510000e-02  2.78695090e+01  7.10280000e-01  
1.47132000e-01  1509            6.97160000e-02  2.75414820e+01  7.28564000e-01  
1.47153000e-01  2347            7.35900000e-02  2.78695090e+01  7.28564000e-01  
1.47199000e-01  2170            6.08620000e-02  2.89395920e+01  7.10280000e-01  
1.47256000e-01  2061            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.47401000e-01  1812            7.10310000e-02  2.91932480e+01  7.28564000e-01  
1.47483000e-01  1285            5.84510000e-02  2.52230860e+01  7.10280000e-01  
1.47749000e-01  2275            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.47759000e-01  1774            7.10310000e-02  2.78695090e+01  7.30004000e-01  
1.47799000e-01  1890            6.97160000e-02  2.93991510e+01  7.28564000e-01  
1.47863000e-01  1955            7.35900000e-02  2.83303920e+01  7.28564000e-01  
1.47951000e-01  2670            7.82180000e-02  3.11676580e+01  7.28564000e-01  
1.48047000e-01  1838            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.48079000e-01  1744            7.77550000e-02  2.71315690e+01  7.28564000e-01  
1.48193000e-01  1846            7.50340000e-02  2.78695090e+01  7.28564000e-01  
1.48242000e-01  2538            7.35900000e-02  3.15600160e+01  7.30004000e-01  
1.48244000e-01  2514            7.29310000e-02  3.16424700e+01  7.28564000e-01  
1.48353000e-01  2639            7.35900000e-02  2.82758080e+01  7.28564000e-01  
1.48491000e-01  2533            5.84510000e-02  2.91666840e+01  7.10280000e-01  
1.48672000e-01  2612            5.84510000e-02  2.87914180e+01  7.10280000e-01  
1.48795000e-01  1374            7.39520000e-02  2.60510150e+01  7.28564000e-01  
1.48838000e-01  1394            7.10900000e-02  2.58864490e+01  7.28564000e-01  
1.48989000e-01  1457            7.25260000e-02  2.64729140e+01  7.28564000e-01  
1.49151000e-01  2440            7.05970000e-02  2.78695090e+01  7.28564000e-01  
1.49168000e-01  2517            7.39520000e-02  2.76714080e+01  7.28564000e-01  
1.49268000e-01  2632            7.35900000e-02  3.11676580e+01  7.28564000e-01  
1.49336000e-01  2285            7.39520000e-02  2.91459810e+01  7.28564000e-01  
1.49750000e-01  2380            7.35900000e-02  2.91208430e+01  7.28564000e-01  
1.49972000e-01  1789            7.35900000e-02  2.75414820e+01  7.30004000e-01  
1.49989000e-01  2590            7.35900000e-02  3.16424700e+01  7.30004000e-01  
1.50001000e-01  1547            7.12340000e-02  2.78695090e+01  7.28564000e-01  
1.50372000e-01  2212            7.18160000e-02  2.71315690e+01  7.28564000e-01  
1.50405000e-01  1618            7.10310000e-02  2.92265500e+01  7.30004000e-01  
1.50489000e-01  2698            7.82180000e-02  3.11676580e+01  7.28564000e-01  
1.50507000e-01  1956            6.98950000e-02  2.91932480e+01  7.26529000e-01  
1.50541000e-01  2435            7.63350000e-02  2.96797880e+01  7.31048000e-01  
