Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
3.17054323e+03  704             2.00005020e+02  7.51503478e+02  7.89936276e+02  2.28193310e+02  9.17869233e+02  9.89005994e+02  
3.17078668e+03  361             1.79267899e+02  3.46677033e+02  3.20011253e+02  1.78410636e+02  8.16785459e+02  2.37987371e+02  
3.20531633e+03  900             3.88086335e+02  1.43615953e+02  4.14422382e+02  7.53610440e+02  3.49399502e+02  5.11440587e+02  
3.21519690e+03  77              5.53993300e+00  6.64652010e+01  6.46438654e+02  3.95630000e-02  1.38239322e+02  8.97359593e+02  
3.21753089e+03  160             1.28493391e+02  6.46981340e+01  3.45523118e+02  7.39127301e+02  6.90731060e+02  2.57939306e+02  
3.24461445e+03  598             9.86999167e+02  9.54110251e+02  9.89026796e+02  9.22458547e+02  9.09577162e+02  7.02702462e+02  
3.25098606e+03  389             1.78716497e+02  9.66925710e+01  3.82806441e+02  1.28637366e+02  3.84230276e+02  2.80967567e+02  
3.25608997e+03  929             7.05849290e+01  7.60616601e+02  5.08270159e+02  8.53917864e+02  2.27550474e+02  7.07279319e+02  
3.26789788e+03  614             7.83005812e+02  4.03149308e+02  8.20022227e+02  5.88062698e+02  6.46964247e+02  9.97694495e+02  
3.26885303e+03  879             1.33641171e+02  9.21072800e+02  4.32202192e+02  4.09651393e+02  7.49385440e+01  5.81728221e+02  
3.29650251e+03  254             2.98906938e+02  7.12597658e+02  2.86914615e+02  3.74236226e+02  6.17696668e+02  2.06730682e+02  
3.32583602e+03  993             5.11274528e+02  5.71014774e+02  2.38742710e+02  3.88191746e+02  7.38823675e+02  1.68579262e+02  
3.33137270e+03  514             2.09938560e+01  9.30666337e+02  3.08434224e+02  1.36107668e+02  4.96297655e+02  2.65562464e+02  
3.36175052e+03  825             1.80351004e+02  7.55851570e+01  5.46490348e+02  9.28856444e+02  9.16542077e+02  7.10993460e+02  
3.36905364e+03  380             8.55118956e+02  2.15384612e+02  1.84166189e+02  1.78434642e+02  4.66331000e-01  2.37933444e+02  
3.37135797e+03  672             1.81660979e+02  9.81126447e+02  5.55857626e+02  9.25691858e+02  9.16923248e+02  7.17181012e+02  
3.37725331e+03  584             3.87336152e+02  8.67396189e+02  7.80989151e+02  3.33845149e+02  2.04398638e+02  9.90448067e+02  
3.39493674e+03  86              4.30361304e+02  6.85941500e+01  7.00910629e+02  3.49488000e-01  5.15049585e+02  4.89810500e+02  
3.40199424e+03  780             8.54763593e+02  6.32600913e+02  5.75762458e+02  3.39925681e+02  5.17695552e+02  7.11101761e+02  
3.42157695e+03  910             9.95570247e+02  7.70962289e+02  5.88690275e+02  9.82131499e+02  8.49534662e+02  7.24971212e+02  
3.43442723e+03  597             2.14592393e+02  3.14254940e+02  7.62750326e+02  1.12019704e+02  4.07038864e+02  5.43378571e+02  
3.44233764e+03  804             1.73896513e+02  9.92506094e+02  9.72079722e+02  9.62007070e+01  8.89277092e+02  7.02297747e+02  
3.46818167e+03  253             7.63162671e+02  3.32188320e+02  3.47902235e+02  3.98708796e+02  3.32238686e+02  2.37985956e+02  
3.49998647e+03  766             3.27044147e+02  1.98996749e+02  7.02145994e+02  3.80519205e+02  9.08363672e+02  4.86734516e+02  
